,stop_from_name,stop_to_name,route_type,weight
0,"AHr Km 11,485",Mstětice,2,329
58,"AHr Km 11,485","vl.v km 9,980",2,319
110,Albertov,Botanická zahrada,0,3113
854,Albertov,Ostrčilovo náměstí,0,5093
2056,Albertov,Výtoň,0,1700
2470,Ametystová,Živcová,3,193
2513,Amforová,Luka,3,1661
2929,Amforová,Píškova,3,833
3130,Amforová,Raichlova,3,741
3324,Amforová,Velká Ohrada,3,63
3333,Anděl,Arbesovo náměstí,0,4345
3754,Anděl,Arbesovo náměstí,3,10
4516,Anděl,Bertramka,0,7207
6289,Anděl,Karlovo náměstí,1,1799
6814,Anděl,Klamovka,3,1936
7303,Anděl,Křížová,0,1258
7614,Anděl,Laurová,3,63
7623,Anděl,Na Knížecí,0,5099
7640,Anděl,Na Knížecí,3,3311
9596,Anděl,Santoška,3,63
9605,Anděl,Smíchovské nádraží,1,1806
10139,Anděl,Zborovská,0,7229
11640,Anděl,Zborovská,3,1456
12070,Antala Staška,Poliklinika Budějovická,3,1881
12558,Antala Staška,Ryšánka,3,2183
13114,Apolinářská,Na Bojišti,3,368
13205,Apolinářská,Větrov,3,368
13296,Arbesovo náměstí,Anděl,0,4333
13717,Arbesovo náměstí,Anděl,3,1340
14733,Arbesovo náměstí,Jiráskovo náměstí,3,780
14921,Arbesovo náměstí,Švandovo divadlo,0,4345
15342,Arbesovo náměstí,Švandovo divadlo,3,2118
16558,Archeologická,Hůrka,3,63
16567,Archeologická,Ovčí hájek,3,1310
16910,Archeologická,Píškova,3,1375
17251,Arena Libeň jih,Nádraží Libeň,0,2836
17961,Arena Libeň jih,Ocelářská,0,2212
18520,Argentinská,Jankovcova,3,168
18547,Argentinská,Osadní,3,145
18576,Argentinská,Vltavská,3,271
18625,Avia Letňany,Staré Letňany,3,1953
19119,Avia Letňany,Sídliště Letňany,3,1971
19621,Baba I,Baba II,3,312
19696,Baba I,Hornocholupická,3,282
19765,Baba II,Baba I,3,282
19834,Baba II,K Vystrkovu,3,312
19909,Babice,"Babice,U hřiště",3,145
19944,Babice,"Říčany,Strašín",3,180
19992,Babice,"Říčany,Strašín,Rest.",3,45
20001,"Babice,Babičky","Babice,U hřiště",3,230
20059,"Babice,Babičky",Doubek,3,145
20094,"Babice,U hřiště",Babice,3,230
20152,"Babice,U hřiště","Babice,Babičky",3,145
20187,Babín odbočka,Nymburk předj.n.,2,384
20259,Babín odbočka,Velké Zboží,2,393
20334,Bachova,Litochlebské náměstí,3,902
20646,Bachova,Mikulova,3,1940
21147,Bachova,Opatov,3,641
21312,Bahno,Krasoňovice,2,83
21329,Bahno,Předbořice,2,83
21343,"Bakov n.Jiz.,Buda","Bakov n.Jiz.,Zájezdy",3,45
21352,"Bakov n.Jiz.,Buda","Kněžmost,Býčina",3,50
21362,"Bakov n.Jiz.,Chudoplesy","Bakov n.Jiz.,Trenčín",3,252
21422,"Bakov n.Jiz.,Chudoplesy","Kosmonosy,nemocnice",3,229
21479,"Bakov n.Jiz.,Horka","Bakov n.Jiz.,Pražská",3,45
21488,"Bakov n.Jiz.,Horka","Bakov n.Jiz.,Zájezdy",3,50
21498,"Bakov n.Jiz.,Komenského sady","Bakov n.Jiz.,žel.zast.",3,209
21551,"Bakov n.Jiz.,Komenského sady","Mnichovo Hradiště,Veselá",3,232
21607,"Bakov n.Jiz.,Malá Bělá,U splávku","Bakov n.Jiz.,Malá Bělá,mlýn",3,50
21617,"Bakov n.Jiz.,Malá Bělá,U splávku","Bakov n.Jiz.,Velký Rečkov",3,45
21626,"Bakov n.Jiz.,Malá Bělá,mlýn","Bakov n.Jiz.,Malá Bělá,U splávku",3,45
21635,"Bakov n.Jiz.,Malá Bělá,mlýn","Bakov n.Jiz.,Podhradí,žel.st.",3,5
21636,"Bakov n.Jiz.,Malá Bělá,mlýn","Bakov n.Jiz.,nám.",3,70
21650,"Bakov n.Jiz.,Malá Bělá,mlýn","Bítouchov,Dolánky,na kopci",3,25
21655,"Bakov n.Jiz.,Podhradí","Bakov n.Jiz.,Podhradí,žel.st.",3,50
21665,"Bakov n.Jiz.,Podhradí","Bítouchov,Dalešice",3,50
21675,"Bakov n.Jiz.,Podhradí,žel.st.","Bakov n.Jiz.,Malá Bělá,mlýn",3,5
21676,"Bakov n.Jiz.,Podhradí,žel.st.","Bakov n.Jiz.,Podhradí",3,50
21686,"Bakov n.Jiz.,Podhradí,žel.st.","Bakov n.Jiz.,nám.",3,40
21694,"Bakov n.Jiz.,Podhradí,žel.st.","Bítouchov,Dolánky",3,5
21695,"Bakov n.Jiz.,Pražská","Bakov n.Jiz.,Horka",3,50
21705,"Bakov n.Jiz.,Pražská","Bakov n.Jiz.,Trenčín",3,45
21714,"Bakov n.Jiz.,Pražská","Kosmonosy,nemocnice",3,129
21756,"Bakov n.Jiz.,Pražská","Mnichovo Hradiště,nám.",3,121
21792,"Bakov n.Jiz.,Trenčín","Bakov n.Jiz.,Chudoplesy",3,229
21849,"Bakov n.Jiz.,Trenčín","Bakov n.Jiz.,Pražská",3,45
21858,"Bakov n.Jiz.,Trenčín","Bakov n.Jiz.,nám.",3,40
21866,"Bakov n.Jiz.,Trenčín","Bakov n.Jiz.,žel.zast.",3,257
21927,"Bakov n.Jiz.,Velký Rečkov","Bakov n.Jiz.,Malá Bělá,U splávku",3,50
21937,"Bakov n.Jiz.,Velký Rečkov","Bělá p.Bezd.,Malý Rečkov",3,45
21946,"Bakov n.Jiz.,Zvířetice",Bítouchov,3,25
21951,"Bakov n.Jiz.,Zvířetice","Bítouchov,Dolánky",3,25
21956,"Bakov n.Jiz.,Zvířetice","Bítouchov,u rybníka",3,25
21961,"Bakov n.Jiz.,Zájezdy","Bakov n.Jiz.,Buda",3,50
21971,"Bakov n.Jiz.,Zájezdy","Bakov n.Jiz.,Horka",3,45
21980,"Bakov n.Jiz.,nám.","Bakov n.Jiz.,Malá Bělá,mlýn",3,65
21993,"Bakov n.Jiz.,nám.","Bakov n.Jiz.,Podhradí,žel.st.",3,40
22001,"Bakov n.Jiz.,nám.","Bakov n.Jiz.,Trenčín",3,40
22009,"Bakov n.Jiz.,nám.","Bakov n.Jiz.,žel.zast.",3,90
22027,"Bakov n.Jiz.,nám.","Bítouchov,Dolánky",3,20
22031,"Bakov n.Jiz.,žel.zast.","Bakov n.Jiz.,Komenského sady",3,232
22087,"Bakov n.Jiz.,žel.zast.","Bakov n.Jiz.,Trenčín",3,234
22145,"Bakov n.Jiz.,žel.zast.","Bakov n.Jiz.,nám.",3,85
22162,"Bakov n.Jiz.,žel.zast.","Mnichovo Hradiště,zdrav.stř.",3,20
22166,Bakov nad Jizerou,Bakov nad Jizerou město,2,128
22198,Bakov nad Jizerou,Dalešice,2,250
22264,Bakov nad Jizerou,Malá Bělá,2,121
22295,Bakov nad Jizerou město,Bakov nad Jizerou,2,129
22329,Bakov nad Jizerou město,Zálučí odbočka,2,128
22361,Bakovská,Jilemnická,3,166
22401,Bakovská,Kbely,3,1397
22738,Bakovská,Sovenická,3,618
22879,Bakovská,Sportovní centrum Kbely,3,913
23110,Balabenka,Divadlo Gong,0,2062
23670,Balabenka,Novovysočanská,3,604
23809,Balabenka,Ocelářská,0,4326
24817,Balabenka,Palmovka,3,2413
24959,Balabenka,Palmovka,0,5797
26817,Balabenka odbočka,Praha Masarykovo nádraží-Sluncová,2,476
26901,Balabenka odbočka,Praha hl. n.-Vítkov výhybka č. 301,2,348
26972,Balabenka odbočka,Praha-Holešovice Rokytka,2,193
27007,Balabenka odbočka,Praha-Vysočany,2,615
27123,Balkova Lhota,Radkov,3,5
27124,"Balkova Lhota,Knížata rozc.1.0","Balkova Lhota,Černý les",3,15
27127,"Balkova Lhota,Knížata rozc.1.0","Jistebnice,Vlásenice",3,15
27130,"Balkova Lhota,Výrec",Balkova Lhota,3,5
27131,"Balkova Lhota,Výrec","Balkova Lhota,Černý les",3,10
27133,"Balkova Lhota,Výrec","Tábor,Všechov",3,15
27136,"Balkova Lhota,Černý les","Balkova Lhota,Knížata rozc.1.0",3,10
27138,"Balkova Lhota,Černý les","Balkova Lhota,Výrec",3,15
27141,Balkán,K Žižkovu,3,1924
27627,Balkán,Novovysočanská,3,623
27773,Balkán,Spojovací,3,2540
28391,Baně,Pod Zatáčkou,3,701
28574,Barchovice,"Barchovice,Hryzely",3,68
28592,"Barchovice,Hryzely","Barchovice,ObÚ",3,74
28611,"Barchovice,Hryzely",Horní Kruty,3,68
28629,"Barchovice,ObÚ",Barchovice,3,68
28647,"Barchovice,ObÚ","Barchovice,Radlice,rozc",3,74
28666,"Barchovice,Radlice","Barchovice,Radlice,rozc",3,53
28677,"Barchovice,Radlice","Malotice,Lhotky",3,32
28684,"Barchovice,Radlice,rozc","Barchovice,ObÚ",3,68
28702,"Barchovice,Radlice,rozc","Barchovice,Radlice",3,32
28709,"Barchovice,Radlice,rozc","Malotice,Lhotky",3,42
28721,Barrandov odbočka,Praha-Smíchov jižní zhlaví,2,533
28834,Barrandov odbočka,Praha-Velká Chuchle,2,510
28938,Barrandovská,Horní cesta,3,363
29029,Bartoušov zast.,Pševes,2,85
29045,Bartoušov zast.,Žitětín,2,90
29062,Barvy a laky,Kablo,3,964
29288,Barvy a laky,Myšlínská,3,35
29293,Barvy a laky,Radiová,3,1627
29684,Baterie,Ořechovka,0,3631
30490,Baterie,Vojenská nemocnice,0,3702
31316,Bavorská,Bílý Beránek,3,661
31483,Bavorská,Lýskova,3,1107
31758,Bavorská,Mototechna,3,368
31857,Bavorská,Obchodní centrum Sárská,3,421
31962,"Bavoryně,rozc.",Chlustina,3,5
31963,"Bavoryně,rozc.",Hředle,3,20
31967,"Bavoryně,rozc.","Zdice,nám.",3,111
31994,"Bavoryně,rozc.","Žebrák,nám.",3,91
32017,Bazar,Přímské náměstí,3,415
32115,Bazar,Smržovská,3,672
32272,Bazar,"Šestajovice,Pražská",3,241
32331,Bazovského,Reinerova,3,661
32499,Bazovského,Slánská,3,1323
32830,Bazovského,Za Slánskou silnicí,3,620
32979,Bazén Hloubětín,Hloubětín,3,405
33077,"Bačalky,Lično","Bačalky,střed",3,52
33089,"Bačalky,Lično","Dětenice,sokolovna",3,21
33094,"Bačalky,Lično","Libáň,aut.st.",3,31
33101,"Bačalky,horní","Bačalky,střed",3,52
33113,"Bačalky,horní","Veselice,dvůr",3,52
33125,"Bačalky,střed","Bačalky,Lično",3,52
33137,"Bačalky,střed","Bačalky,horní",3,52
33149,Bašteckého,Malá Ohrada,3,794
33339,Bašteckého,Píškova,3,800
33538,Bašť,"Bašť,Baštěk",3,220
33590,Bašť,"Bašť,Měšická",3,210
33639,Bašť,"Líbeznice,Pošta",3,35
33646,"Bašť,Baštěk",Bašť,3,245
33702,"Bašť,Baštěk",Panenské Břežany,3,10
33704,"Bašť,Baštěk",Předboj,3,165
33742,"Bašť,Měšická",Bašť,3,185
33787,"Bašť,Měšická","Líbeznice,II",3,195
33833,"Bašť,Měšická","Líbeznice,Škola",3,15
33836,Bažantnice odbočka,Postoloprty,2,76
33848,Bažantnice odbočka,"bod úvratě km 1,200",2,100
33864,Bdín,Přerubenice,3,50
33874,Bdín,"Srbeč,koup.",3,45
33883,"Bechlín,ObÚ","Horní Počaply,žel.st.",3,10
33885,Bechov,Dlouhá Lhota,2,111
33921,Bechov,Rohatsko,2,110
33954,Belárie,Modřanská škola,0,2870
34635,Belárie,Modřanská škola,3,188
34753,Belárie,Černý kůň,0,2934
35443,Belárie,Černý kůň,3,179
35564,"Benecko,Dolní Štěpanice,host.u Šmídů","Benecko,Dolní Štěpanice,u mostu",3,6
35567,"Benecko,Dolní Štěpanice,host.u Šmídů","Jestřabí v Krk.,Křížlice,myslivna",3,11
35571,"Benecko,Dolní Štěpanice,u mostu","Benecko,Dolní Štěpanice,host.u Šmídů",3,11
35575,"Benecko,Dolní Štěpanice,u mostu","Jilemnice,Hrabačov,křiž.",3,6
35578,Benešov u Prahy,Benešov-Černý les,2,98
35594,Benešov u Prahy,Bystřice u Benešova,2,202
35632,Benešov u Prahy,Mrač,2,371
35698,"Benešov,Antuškova","Benešov,Nová Pražská",3,115
35721,"Benešov,Antuškova","Benešov,Technické služby",3,70
35735,"Benešov,Antuškova","Benešov,Čechova",3,30
35741,"Benešov,Baba","Benešov,Bedrč",3,99
35764,"Benešov,Baba","Benešov,Penny Market",3,109
35790,"Benešov,Bedrč","Benešov,Baba",3,109
35816,"Benešov,Bedrč",Petroupim,3,48
35828,"Benešov,Bedrč","Soběhrdy,Žíňany,rozc.",3,51
35839,"Benešov,Benea","Benešov,Jana Nohy",3,431
35939,"Benešov,Benea","Benešov,Křižíkova",3,261
35999,"Benešov,Benea","Bystřice,Jírovice",3,83
36018,"Benešov,Benea","Bystřice,Jírovice,rozc.",3,44
36031,"Benešov,Benica","Benešov,Ke Stadionu",3,20
36035,"Benešov,Benica","Benešov,Konopiště,Šiberna",3,30
36041,"Benešov,Boušice","Benešov,Dlouhé Pole",3,29
36048,"Benešov,Boušice","Struhařov,Myslíč,rozc.",3,34
36056,"Benešov,Buková Lhota","Benešov,Vidlákova Lhota",3,70
36070,"Benešov,Buková Lhota,rozc.","Benešov,Buková Lhota",3,90
36088,"Benešov,Buková Lhota,rozc.","Benešov,Vidlákova Lhota,rozc.",3,118
36117,"Benešov,Buková Lhota,rozc.","Bukovany,Rozc.",3,113
36144,"Benešov,Dlouhé Pole","Benešov,Boušice",3,34
36152,"Benešov,Dlouhé Pole","Benešov,Červený Dvůr",3,29
36159,"Benešov,Dlouhé Pole,rozc.","Benešov,Pinko",3,361
36252,"Benešov,Dlouhé Pole,rozc.","Struhařov,Myslíč,rozc.",3,341
36337,"Benešov,Dukelská","Benešov,Konopišťská",3,40
36345,"Benešov,Dukelská","Benešov,Pražská",3,289
36406,"Benešov,Dukelská","Benešov,Terminál",3,130
36432,"Benešov,Dukelská","Benešov,Tyršova",3,160
36464,"Benešov,Galerie Červené Vršky","Benešov,Kaufland",3,10
36466,"Benešov,Galerie Červené Vršky","Benešov,Lidl",3,65
36479,"Benešov,Galerie Červené Vršky","Benešov,Pomněnice",3,90
36497,"Benešov,Hráského","Benešov,Na Chmelnici",3,471
36608,"Benešov,Hráského","Benešov,Pivovar Ferdinand",3,491
36727,"Benešov,Jana Nohy","Benešov,Benea",3,388
36819,"Benešov,Jana Nohy","Benešov,Konopišťská",3,331
36899,"Benešov,Jiráskova Škola","Benešov,Dukelská",3,10
36901,"Benešov,Jiráskova Škola","Benešov,Pivovar Ferdinand",3,205
36942,"Benešov,Jiráskova Škola","Benešov,Terminál",3,170
36976,"Benešov,Jiřího Franka Dětské hřiště","Benešov,MŠ Úsměv",3,90
36994,"Benešov,Jiřího Franka Dětské hřiště","Benešov,Technické služby",3,115
37017,"Benešov,Jiřího Franka U Viaduktu","Benešov,Antuškova",3,30
37023,"Benešov,K Tužince","Benešov,Čerčanská",3,110
37045,"Benešov,Kaufland","Benešov,Lidl",3,60
37057,"Benešov,Kaufland","Benešov,Neumannova",3,60
37069,"Benešov,Ke Stadionu","Benešov,Benica",3,30
37075,"Benešov,Ke Stadionu","Benešov,Konopišťská",3,20
37079,"Benešov,Konopiště","Benešov,Konopiště,informační centrum",3,10
37081,"Benešov,Konopiště","Benešov,Konopišťská",3,116
37109,"Benešov,Konopiště","Václavice,Vatěkov,rozc.",3,111
37136,"Benešov,Konopiště,informační centrum","Benešov,Mydlářka",3,10
37138,"Benešov,Konopiště,sv.Anna","Benešov,Konopiště,sádky",3,30
37144,"Benešov,Konopiště,sv.Anna","Benešov,Konopiště,Šiberna",3,20
37148,"Benešov,Konopiště,sádky","Benešov,Konopiště,sv.Anna",3,20
37152,"Benešov,Konopiště,sádky","Bystřice,Jarkovice",3,20
37156,"Benešov,Konopiště,Šiberna","Benešov,Benica",3,20
37160,"Benešov,Konopiště,Šiberna","Benešov,Konopiště,sv.Anna",3,30
37166,"Benešov,Konopišťská","Benešov,Jana Nohy",3,328
37246,"Benešov,Konopišťská","Benešov,Ke Stadionu",3,30
37252,"Benešov,Konopišťská","Benešov,Konopiště",3,121
37281,"Benešov,Konopišťská","Benešov,Purkyňova",3,90
37299,"Benešov,Konopišťská","Benešov,Terminál",3,532
37424,"Benešov,Křižíkova","Benešov,Benea",3,304
37492,"Benešov,Křižíkova","Benešov,Mariánovice,ČSAD",3,75
37507,"Benešov,Křižíkova","Bystřice,Jírovice,rozc.",3,186
37552,"Benešov,Lidl","Benešov,Galerie Červené Vršky",3,100
37572,"Benešov,Lidl","Benešov,Kaufland",3,105
37593,"Benešov,Lidl","Benešov,Nemocnice Rudolfa a Stefanie",3,130
37619,"Benešov,Lidl","Benešov,Neumannova",3,50
37629,"Benešov,Lidl","Benešov,Terminál",3,321
37710,"Benešov,Lidl","Mrač,Obec",3,120
37739,"Benešov,Lidl",Roztyly,3,211
37800,"Benešov,Mariánovice","Benešov,Mariánovice,rozc.",3,130
37826,"Benešov,Mariánovice,rozc.","Benešov,Mariánovice",3,130
37852,"Benešov,Mariánovice,rozc.","Benešov,Mariánovice,ČSAD",3,60
37864,"Benešov,Mariánovice,rozc.","Benešov,Černý les",3,55
37875,"Benešov,Mariánovice,ČSAD","Benešov,Křižíkova",3,120
37899,"Benešov,Mariánovice,ČSAD","Benešov,Mariánovice,rozc.",3,40
37907,"Benešov,Mariánovice,ČSAD","Benešov,Černý les",3,30
37913,"Benešov,Masarykovo náměstí","Benešov,Pražská",3,30
37919,"Benešov,Mydlářka","Benešov,Nemocnice Rudolfa a Stefanie",3,10
37921,"Benešov,MŠ Úsměv","Benešov,Jiřího Franka Dětské hřiště",3,115
37944,"Benešov,MŠ Úsměv","Benešov,Jiřího Franka U Viaduktu",3,30
37950,"Benešov,Na Chmelnici","Benešov,Hráského",3,491
38069,"Benešov,Na Chmelnici","Benešov,Pinko",3,391
38164,"Benešov,Na Chmelnici","Benešov,Zapova",3,80
38180,"Benešov,Nechyba","Struhařov,Budkov",3,5
38181,"Benešov,Nechyba","Struhařov,Myslíč,rozc.",3,327
38266,"Benešov,Nechyba","Struhařov,žel.zast.",3,307
38343,"Benešov,Nemocnice Rudolfa a Stefanie","Benešov,Lidl",3,205
38384,"Benešov,Nemocnice Rudolfa a Stefanie","Benešov,Nová Pražská",3,110
38406,"Benešov,Nemocnice Rudolfa a Stefanie","Benešov,Purkyňova",3,65
38419,"Benešov,Nemocnice Rudolfa a Stefanie","Benešov,Terminál",3,390
38509,"Benešov,Nemocnice Rudolfa a Stefanie",Chlístov,3,176
38551,"Benešov,Nemocnice Rudolfa a Stefanie","Chlístov,Racek,osada",3,10
38553,"Benešov,Neumannova","Benešov,K Tužince",3,110
38575,"Benešov,Nezvalova","Benešov,Tylova",3,110
38597,"Benešov,Nová Pražská","Benešov,Antuškova",3,70
38611,"Benešov,Nová Pražská","Benešov,Masarykovo náměstí",3,10
38613,"Benešov,Nová Pražská","Benešov,Nemocnice Rudolfa a Stefanie",3,95
38632,"Benešov,Nová Pražská","Benešov,Pražská",3,215
38675,"Benešov,Nová Pražská","Benešov,Čechova",3,99
38698,"Benešov,Okrouhlice","Benešov,Okrouhlice,lom",3,34
38706,"Benešov,Okrouhlice","Struhařov,Věřice,rozc.",3,29
38713,"Benešov,Okrouhlice,lom","Benešov,Okrouhlice",3,29
38720,"Benešov,Okrouhlice,lom","Benešov,Červený Dvůr",3,34
38728,"Benešov,Penny Market","Benešov,Baba",3,99
38751,"Benešov,Penny Market","Benešov,Jiřího Franka Dětské hřiště",3,20
38755,"Benešov,Penny Market","Benešov,Vlašimská dopravní hřiště",3,30
38761,"Benešov,Penny Market","Benešov,Čechova",3,109
38787,"Benešov,Pinko","Benešov,Dlouhé Pole,rozc.",3,341
38872,"Benešov,Pinko","Benešov,Na Chmelnici",3,411
38975,"Benešov,Pinko","Benešov,Vlašimská dopravní hřiště",3,130
39001,"Benešov,Pinko","Benešov,Zapova",3,80
39017,"Benešov,Pivovar Ferdinand","Benešov,Hráského",3,471
39128,"Benešov,Pivovar Ferdinand","Benešov,Jiráskova Škola",3,165
39161,"Benešov,Pivovar Ferdinand","Benešov,Plavecký stadion",3,205
39202,"Benešov,Pivovar Ferdinand","Benešov,Terminál",3,491
39321,"Benešov,Plavecký stadion","Benešov,Pivovar Ferdinand",3,165
39354,"Benešov,Plavecký stadion","Benešov,Černoleská",3,205
39395,"Benešov,Pomněnice","Benešov,Galerie Červené Vršky",3,65
39408,"Benešov,Pomněnice","Benešov,Pomněnice,zahrádky",3,90
39426,"Benešov,Pomněnice,zahrádky","Benešov,Pomněnice",3,65
39439,"Benešov,Pomněnice,zahrádky","Chlístov,Racek,rozc.",3,90
39457,"Benešov,Pražská","Benešov,Dukelská",3,320
39521,"Benešov,Pražská","Benešov,Masarykovo náměstí",3,20
39525,"Benešov,Pražská","Benešov,Nová Pražská",3,264
39581,"Benešov,Purkyňova","Benešov,Konopišťská",3,65
39594,"Benešov,Purkyňova","Benešov,Nemocnice Rudolfa a Stefanie",3,90
39612,"Benešov,Rubešova","Benešov,Lidl",3,50
39622,"Benešov,Rubešova","Benešov,Nemocnice Rudolfa a Stefanie",3,60
39634,"Benešov,Technické služby","Benešov,Antuškova",3,115
39657,"Benešov,Technické služby","Benešov,Jiřího Franka Dětské hřiště",3,70
39671,"Benešov,Terminál","Benešov,Dukelská",3,289
39732,"Benešov,Terminál","Benešov,Jiráskova Škola",3,215
39775,"Benešov,Terminál","Benešov,Konopišťská",3,494
39893,"Benešov,Terminál","Benešov,Lidl",3,331
39983,"Benešov,Terminál","Benešov,Nemocnice Rudolfa a Stefanie",3,286
40047,"Benešov,Terminál","Benešov,Pivovar Ferdinand",3,471
40158,"Benešov,Terminál","Benešov,Pražská",3,75
40173,"Benešov,Tylova","Benešov,Rubešova",3,110
40195,"Benešov,Tyršova","Benešov,Konopišťská",3,35
40202,"Benešov,Tyršova","Benešov,Terminál",3,125
40227,"Benešov,Vidlákova Lhota",Chlístov,3,70
40241,"Benešov,Vidlákova Lhota,rozc.","Benešov,Buková Lhota,rozc.",3,113
40268,"Benešov,Vidlákova Lhota,rozc.",Chlístov,3,118
40297,"Benešov,Vlašimská dopravní hřiště","Benešov,MŠ Úsměv",3,10
40299,"Benešov,Vlašimská dopravní hřiště","Benešov,Penny Market",3,20
40303,"Benešov,Vlašimská dopravní hřiště","Benešov,Pinko",3,130
40329,"Benešov,Zapova","Benešov,Na Chmelnici",3,80
40345,"Benešov,Zapova","Benešov,Pinko",3,80
40361,"Benešov,Úročnice","Benešov,Úročnice,rozc.Hrusice",3,68
40377,"Benešov,Úročnice",Chlístov,3,73
40394,"Benešov,Úročnice,rozc.Hrusice","Benešov,Úročnice",3,73
40411,"Benešov,Úročnice,rozc.Hrusice","Týnec n.Sáz.,Krusičany,Rozc.",3,68
40427,"Benešov,Čechova","Benešov,Nemocnice Rudolfa a Stefanie",3,109
40453,"Benešov,Čechova","Benešov,Penny Market",3,129
40482,"Benešov,Černoleská","Benešov,Plavecký stadion",3,165
40515,"Benešov,Černoleská","Benešov,Černý les",3,205
40556,"Benešov,Černý les","Benešov,Mariánovice,rozc.",3,75
40571,"Benešov,Černý les","Benešov,Mariánovice,ČSAD",3,60
40583,"Benešov,Černý les","Benešov,Černoleská",3,165
40616,"Benešov,Černý les","Struhařov,Skalice",3,70
40630,"Benešov,Červený Dvůr","Benešov,Dlouhé Pole",3,34
40638,"Benešov,Červený Dvůr","Benešov,Okrouhlice,lom",3,29
40645,"Benešov,Čerčanská","Benešov,Nezvalova",3,110
40667,Benešov-Černý les,Benešov u Prahy,2,98
40684,Benešov-Černý les,Myslíč,2,98
40700,Benice,K Lipanům,3,355
40780,Benice,Lipany,3,120
40802,Benice,Čestlice,3,100
40818,Benkova,Brodského,3,1381
41240,Benkova,Chodovec,3,674
41417,Benkova,Pod Chodovem,3,718
41601,"Benátky n.Jiz.,Dražice,Na Štěpničce","Benátky n.Jiz.,Dražice,dvůr",3,211
41645,"Benátky n.Jiz.,Dražice,Na Štěpničce","Benátky n.Jiz.,u hřbitova",3,231
41693,"Benátky n.Jiz.,Dražice,dvůr","Benátky n.Jiz.,Dražice,Na Štěpničce",3,231
41741,"Benátky n.Jiz.,Dražice,dvůr","Benátky n.Jiz.,Dražice,závod",3,211
41785,"Benátky n.Jiz.,Dražice,závod","Benátky n.Jiz.,Dražice,dvůr",3,231
41833,"Benátky n.Jiz.,Dražice,závod","Benátky n.Jiz.,Ovčín",3,181
41871,"Benátky n.Jiz.,Dražice,závod","Benátky n.Jiz.,u hřbitova",3,80
41887,"Benátky n.Jiz.,Dražice,závod","Brodce,sokolovna",3,110
41909,"Benátky n.Jiz.,Dražická","Benátky n.Jiz.,Husovo nám.",3,401
41991,"Benátky n.Jiz.,Dražická","Benátky n.Jiz.,u hřbitova",3,276
42048,"Benátky n.Jiz.,Dražická",Dolní Slivno,3,5
42049,"Benátky n.Jiz.,Dražická",Zdětín,3,110
42071,"Benátky n.Jiz.,Husovo nám.","Benátky n.Jiz.,Dražická",3,386
42150,"Benátky n.Jiz.,Husovo nám.","Benátky n.Jiz.,Vaněčkova",3,61
42164,"Benátky n.Jiz.,Kbel","Benátky n.Jiz.,Ovčín",3,490
42276,"Benátky n.Jiz.,Kbel","Benátky n.Jiz.,aut.st.",3,448
42380,"Benátky n.Jiz.,Obodř","Benátky n.Jiz.,Soumarova",3,56
42393,"Benátky n.Jiz.,Obodř","Benátky n.Jiz.,rozc.Sedlec",3,61
42407,"Benátky n.Jiz.,Ovčín","Benátky n.Jiz.,Dražice,závod",3,211
42451,"Benátky n.Jiz.,Ovčín","Benátky n.Jiz.,Kbel",3,448
42555,"Benátky n.Jiz.,Ovčín","Benátky n.Jiz.,u hřbitova",3,5
42556,"Benátky n.Jiz.,Ovčín","Brodce,Cukrovarská",3,25
42561,"Benátky n.Jiz.,Ovčín","Brodce,sokolovna",3,244
42622,"Benátky n.Jiz.,Ovčín",Horky n.Jiz.,3,5
42623,"Benátky n.Jiz.,Soumarova","Benátky n.Jiz.,Obodř",3,61
42637,"Benátky n.Jiz.,Soumarova","Benátky n.Jiz.,Vaněčkova",3,56
42650,"Benátky n.Jiz.,Vaněčkova","Benátky n.Jiz.,Husovo nám.",3,56
42663,"Benátky n.Jiz.,Vaněčkova","Benátky n.Jiz.,Soumarova",3,61
42677,"Benátky n.Jiz.,aut.st.","Benátky n.Jiz.,Kbel",3,485
42788,"Benátky n.Jiz.,aut.st.","Benátky n.Jiz.,nám.17.listopadu",3,5
42789,"Benátky n.Jiz.,aut.st.","Brodce,Cukrovarská",3,29
42796,"Benátky n.Jiz.,aut.st.",Jiřice,3,202
42840,"Benátky n.Jiz.,aut.st.","Kochánky,Okrouhlík",3,310
42916,"Benátky n.Jiz.,aut.st.",Černý Most,3,58
42930,"Benátky n.Jiz.,nám.17.listopadu","Benátky n.Jiz.,Kbel",3,5
42931,"Benátky n.Jiz.,rozc.Sedlec","Benátky n.Jiz.,Obodř",3,56
42944,"Benátky n.Jiz.,rozc.Sedlec","Kochánky,V Kateřinkách",3,61
42958,"Benátky n.Jiz.,u hřbitova","Benátky n.Jiz.,Dražice,Na Štěpničce",3,211
43002,"Benátky n.Jiz.,u hřbitova","Benátky n.Jiz.,Dražice,závod",3,80
43018,"Benátky n.Jiz.,u hřbitova","Benátky n.Jiz.,Dražická",3,316
43083,Bernardov,Kobylnice,3,60
43095,Bernardov,"Kobylnice,rozc.0.5",3,25
43100,Bernartice,"Bernartice,SSÚD",3,37
43110,Bernartice,"Bernartice,most",3,57
43123,Bernartice,"Bernartice,rozc.",3,72
43139,Bernartice,"Loket u Čechtic,Brzotice",3,47
43151,"Bernartice,SSÚD",Bernartice,3,47
43163,"Bernartice,SSÚD","Loket u Čechtic,Němčice",3,42
