,stop_from_name,stop_to_name,route_type,weight
1597339,Římská,Náměstí Míru,3,1290
1597641,Říčanova,Břevnovský klášter,0,6270
1599053,Říčanova,Břevnovský klášter,3,82
1599172,Říčanova,Vypich,0,5626
1600476,Říčanova,Vypich,3,81
1600584,Říčany,Světice,2,520
1600678,Říčany,hr.VUSC 0100/0200 05,2,566
1600787,"Říčany,5.května","Říčany,Nádraží",3,244
1600842,"Říčany,5.května","Říčany,Pod Kavčí Skálou",3,86
1600872,"Říčany,5.května","Říčany,Politických vězňů",3,166
1600918,"Říčany,5.května","Říčany,Štefánikova",3,237
1600972,"Říčany,Březská U Rokytky","Říčany,Pacov,Březská rozc.",3,70
1600986,"Říčany,Březská U Rokytky","Říčany,U Vojenského velitelství",3,75
1601001,"Říčany,Fibichova","Říčany,Komenského nám.",3,5
1601002,"Říčany,Fibichova","Říčany,Pivoňková",3,5
1601003,"Říčany,Hřbitov","Říčany,Kuříčko",3,126
1601033,"Říčany,Hřbitov","Říčany,U Lípy",3,134
1601077,"Říčany,Jažlovice","Strančice,Otice",3,30
1601083,"Říčany,Jažlovice","Strančice,Rozc.Sklenka",3,49
1601094,"Říčany,Jažlovice","Říčany,Prům.zóna Zděbrady",3,135
1601121,"Říčany,Jažlovice","Říčany,Voděrádky",3,130
1601147,"Říčany,K Žel.st.","Říčany,Mozartova",3,70
1601161,"Říčany,K Žel.st.","Říčany,Nemocnice",3,145
1601190,"Říčany,K Žel.st.","Říčany,Pacov,U Hřbitova",3,65
1601203,"Říčany,K Žel.st.","Říčany,Pod Lihovarem",3,5
1601204,"Říčany,K Žel.st.","Říčany,Prům.areál Černokostelecká",3,401
1601325,"Říčany,K Žel.st.","Říčany,Spojovací ZŠ",3,115
1601348,"Říčany,K Žel.st.","Říčany,U Nem.",3,507
1601484,"Říčany,K Žel.st.","Říčany,U Vojenského velitelství",3,75
1601499,"Říčany,K Žel.st.","Říčany,U Větrníku",3,161
1601533,"Říčany,Komenského nám.","Říčany,5.května",3,70
1601547,"Říčany,Komenského nám.","Říčany,Pod Kavčí Skálou",3,40
1601555,"Říčany,Komenského nám.","Říčany,Štefánikova",3,105
1601576,"Říčany,Kuří","Nupaky,školka",3,126
1601606,"Říčany,Kuří","Říčany,Kuříčko",3,118
1601634,"Říčany,Kuříčko","Říčany,Hřbitov",3,118
1601662,"Říčany,Kuříčko","Říčany,Kuří",3,126
1601692,"Říčany,Marvánek",Světice,3,60
1601704,"Říčany,Marvánek","Říčany,Masarykovo nám. - Na Růžku",3,5
1601705,"Říčany,Marvánek","Říčany,Na Obci",3,65
1601718,"Říčany,Marvánek","Říčany,Nám.",3,65
1601731,"Říčany,Marvánek","Říčany,OÁZA",3,70
1601745,"Říčany,Masarykovo nám.","Říčany,Na Obci",3,70
1601759,"Říčany,Masarykovo nám.","Říčany,Park A.Švehly",3,156
1601803,"Říčany,Masarykovo nám.","Říčany,U Lípy",3,101
1601836,"Říčany,Masarykovo nám. - Na Růžku","Říčany,Fibichova",3,5
1601837,"Říčany,Masarykovo nám. - Na Růžku","Říčany,Komenského nám.",3,65
1601850,"Říčany,Masarykovo nám. - Na Růžku","Říčany,Štefánikova",3,65
1601863,"Říčany,Melantrichova","Říčany,Pivoňková",3,5
1601864,"Říčany,Mozartova","Říčany,K Žel.st.",3,70
1601878,"Říčany,Mozartova","Říčany,Pacov,U Hřbitova",3,70
1601892,"Říčany,Mozartova","Říčany,U Podjezdu",3,5
1601893,"Říčany,MŠ Zahrádka","Říčany,OÁZA",3,5
1601894,"Říčany,Na Kavčí skále","Říčany,ZŠ U Říčanského lesa",3,5
1601895,"Říčany,Na Obci","Říčany,Marvánek",3,70
